iter	Passed	Remaining
0	146	146328
1	148	73874
2	149	49565
3	150	37408
4	151	30109
5	152	25285
6	153	21826
7	154	19194
8	155	17132
9	156	15488
10	157	14138
11	157	13002
12	158	12042
13	159	11223
14	159	10504
15	160	9873
16	161	9313
17	161	8821
18	162	8377
19	162	7979
20	163	7632
21	164	7312
22	165	7019
23	165	6746
24	166	6491
25	167	6270
26	168	6062
27	168	5862
28	169	5676
29	170	5502
30	170	5339
31	171	5196
32	172	5056
33	173	4922
34	173	4794
35	174	4674
36	175	4560
37	175	4454
38	176	4351
39	177	4257
40	178	4165
41	178	4078
42	179	3994
43	180	3914
44	180	3839
45	181	3773
46	182	3706
47	183	3640
48	184	3574
49	184	3512
50	185	3452
51	186	3395
52	186	3340
53	187	3286
54	188	3236
55	189	3187
56	189	3139
57	190	3094
58	191	3048
59	191	3004
60	192	2964
61	193	2925
62	194	2888
63	195	2852
64	196	2822
65	197	2788
66	197	2754
67	198	2721
68	199	2689
69	200	2669
70	201	2640
71	202	2613
72	203	2583
73	204	2555
74	204	2527
75	205	2503
76	207	2483
77	208	2467
78	209	2443
79	210	2417
80	211	2401
81	212	2378
82	212	2351
83	213	2329
84	214	2306
85	214	2283
86	215	2262
87	216	2241
88	216	2220
89	217	2199
90	218	2182
91	219	2164
92	219	2144
93	220	2127
94	221	2109
95	222	2092
96	222	2073
97	223	2056
98	224	2039
99	224	2022
100	226	2012
101	226	1998
102	227	1984
103	229	1979
104	231	1969
105	232	1958
106	233	1949
107	234	1937
108	235	1923
109	236	1910
110	247	1979
111	248	1970
112	249	1956
113	250	1944
114	251	1932
115	252	1920
116	252	1906
117	253	1895
118	254	1883
119	255	1870
120	255	1858
121	257	1850
122	258	1843
123	260	1840
124	261	1830
125	262	1820
126	263	1809
127	264	1798
128	265	1790
129	266	1781
130	266	1770
131	267	1759
132	268	1749
133	269	1739
134	269	1728
135	271	1724
136	272	1717
137	274	1712
138	275	1706
139	276	1698
140	277	1688
141	277	1677
142	278	1667
143	279	1659
144	279	1649
145	280	1640
146	281	1631
147	282	1623
148	282	1614
149	283	1606
150	284	1598
151	284	1589
152	285	1580
153	286	1573
154	287	1569
155	289	1566
156	291	1562
157	291	1555
158	292	1547
159	293	1541
160	294	1532
161	295	1527
162	296	1522
163	297	1514
164	297	1507
165	298	1500
166	299	1492
167	299	1485
168	301	1480
169	302	1477
170	304	1474
171	305	1470
172	306	1463
173	307	1459
174	308	1454
175	309	1447
176	309	1440
177	310	1433
178	311	1427
179	311	1421
180	312	1415
181	313	1409
182	314	1403
183	315	1397
184	316	1392
185	317	1391
186	319	1390
187	320	1384
188	321	1379
189	322	1374
190	323	1368
191	323	1362
192	324	1357
193	325	1353
194	327	1350
195	327	1344
196	328	1339
197	329	1334
198	330	1329
199	331	1324
200	332	1320
201	333	1316
202	334	1313
203	335	1309
204	336	1304
205	337	1299
206	338	1296
207	339	1292
208	340	1287
209	340	1282
210	341	1277
211	342	1272
212	343	1267
213	343	1262
214	344	1258
215	345	1254
216	346	1251
217	347	1247
218	348	1244
219	349	1239
220	350	1235
221	351	1231
222	352	1227
223	353	1223
224	353	1218
225	354	1214
226	355	1210
227	356	1206
228	357	1202
229	358	1199
230	358	1194
231	359	1191
232	360	1187
233	361	1184
234	362	1180
235	363	1177
236	364	1173
237	365	1168
238	365	1165
239	366	1161
240	367	1157
241	368	1154
242	369	1151
243	370	1148
244	371	1144
245	372	1140
246	372	1136
247	373	1133
248	374	1129
249	375	1125
250	376	1122
251	377	1119
252	379	1119
253	379	1115
254	380	1111
255	381	1108
256	382	1104
257	383	1102
258	384	1098
259	385	1095
260	385	1092
261	386	1088
262	387	1086
263	388	1084
264	389	1080
265	390	1078
266	391	1075
267	393	1074
268	394	1072
269	395	1070
270	396	1066
271	397	1064
272	398	1060
273	399	1057
274	400	1055
275	401	1053
276	402	1049
277	402	1046
278	403	1043
279	404	1039
280	405	1037
281	407	1036
282	408	1034
283	408	1031
284	410	1028
285	410	1025
286	411	1022
287	412	1019
288	412	1016
289	414	1014
290	415	1011
291	415	1008
292	416	1005
